"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.681041671E-3,-4.291126556E0,4.356989594E0,8.505313110E0
1.169404166E-2,-4.099674683E0,4.243675232E0,8.326285400E0
2.170704168E-2,-4.092489624E0,4.163142700E0,8.754095764E0
3.172104168E-2,-5.030439148E0,4.058959351E0,9.209299164E0
4.173404168E-2,-5.579347687E0,4.182003479E0,8.925339661E0
5.174704167E-2,-5.040168915E0,4.607718201E0,9.211843872E0
6.176004166E-2,-4.511168976E0,4.572541351E0,9.350605316E0
7.177404166E-2,-4.211941223E0,4.088747406E0,9.514215088E0
8.178704168E-2,-3.907773743E0,3.748804321E0,9.852661285E0
9.180004167E-2,-3.919449463E0,3.766916656E0,1.022044647E1
1.018130417E-1,-3.772604828E0,3.908971252E0,1.020323227E1
1.118270417E-1,-3.294499054E0,3.475023651E0,9.992620239E0
1.218400417E-1,-2.645748138E0,3.237168274E0,9.967472534E0
1.318530417E-1,-2.192790070E0,3.091521149E0,9.506730652E0
1.418660417E-1,-1.891915741E0,2.607876892E0,9.307494965E0
1.518790417E-1,-1.335522766E0,2.492317200E0,8.594976654E0
1.618930417E-1,-6.706054688E-1,2.801274719E0,8.156089325E0
1.719060417E-1,-4.197271729E-1,2.991828461E0,7.261100464E0
1.819190417E-1,3.625460815E-1,3.634142761E0,9.195827179E0
1.919320417E-1,1.786534882E0,4.366719360E0,1.099867813E1
2.019460417E-1,2.475851440E0,3.776646423E0,7.606282654E0
2.119590417E-1,1.867067413E0,3.424728241E0,4.216731262E0
2.219720417E-1,8.737330627E-1,4.074227600E0,5.991440735E0
2.319850417E-1,1.434017944E-1,4.491859131E0,6.966213684E0
2.419980417E-1,1.945953369E-3,4.649631042E0,6.546187134E0
2.520120417E-1,4.805007935E-1,4.529730377E0,8.666677551E0
2.620250417E-1,9.626481628E-1,4.146976318E0,9.030121765E0
2.720380417E-1,8.458909607E-1,3.948040009E0,8.434360657E0
2.820510417E-1,8.565188599E-1,4.119283905E0,8.216713257E0
2.920650417E-1,8.488847351E-1,4.269870758E0,7.912246399E0
3.020780417E-1,5.724096680E-1,4.055815887E0,7.669600983E0
3.120910417E-1,1.718426514E-1,3.797602844E0,7.378157043E0
3.221040417E-1,-4.586462402E-1,3.825594635E0,7.991731110E0
3.321180417E-1,-5.421725464E-1,4.622088318E0,8.641679535E0
3.421310417E-1,-2.228865051E-1,5.218298492E0,8.489446106E0
3.521440417E-1,-9.595046997E-2,4.992418213E0,8.024512939E0
3.621570417E-1,2.415975952E-1,5.013674011E0,8.070467377E0
3.721710417E-1,6.786886597E-1,4.782554626E0,8.389753418E0
3.821840417E-1,3.414399719E-1,4.447700958E0,8.344098358E0
3.921970417E-1,-1.311273193E-1,4.185596008E0,8.557554474E0
4.022100417E-1,-2.302212524E-1,4.209995270E0,9.045689392E0
4.122230417E-1,-3.354524231E-1,4.284989319E0,8.911119232E0
4.222370417E-1,-2.507286072E-1,4.196972351E0,8.646768951E0
4.322500417E-1,-1.291813660E-1,4.266427917E0,8.578959961E0
4.422630417E-1,-9.400451660E-2,4.321064301E0,8.603808289E0
4.522760417E-1,-1.134640503E-1,4.273463287E0,8.661139069E0
4.622900417E-1,-1.332229614E-1,4.245471497E0,8.696465607E0
4.723030417E-1,8.427474976E-2,4.278852081E0,8.523275757E0
4.823160417E-1,1.429527283E-1,4.228257294E0,8.481662292E0
4.923290417E-1,3.847000122E-2,4.142485657E0,8.692723389E0
5.023430417E-1,-4.311035156E-2,4.119433594E0,8.770411835E0
5.123560417E-1,-4.909790039E-2,4.096531219E0,8.886420593E0
5.223690417E-1,5.388793945E-3,4.092938690E0,8.973838806E0
5.323820417E-1,3.367996216E-2,4.066294098E0,9.064550171E0
5.423950417E-1,1.616638184E-2,4.035009155E0,9.155411224E0
5.524090417E-1,-4.535568237E-2,4.035607910E0,9.210047607E0
5.624220417E-1,-1.336720276E-1,4.058210907E0,9.192084961E0
5.724350417E-1,-1.422042847E-1,4.079017639E0,9.285191345E0
5.824480417E-1,-1.315763855E-1,4.150568848E0,9.240584106E0
5.924620417E-1,-1.571731567E-2,4.138294373E0,9.123976593E0
6.024750417E-1,2.574645996E-2,4.190835114E0,9.031319275E0
6.124880417E-1,-1.332229614E-2,4.189038849E0,8.741970978E0
6.225010417E-1,5.388793945E-3,4.337979126E0,8.764873352E0
6.325150417E-1,-1.146615601E-1,4.459526367E0,8.805588684E0
6.425280417E-1,-7.694000244E-2,4.517455902E0,8.730444946E0
