"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.803104166E-2,-7.180333138E-1,-1.708739877E0,-3.977886438E-1
8.804404168E-2,-6.313983202E-1,-2.251458645E0,-2.488512397E-1
9.805804168E-2,-4.506064951E-1,-2.804613590E0,-6.131170690E-2
1.080710417E-1,-1.906637102E-1,-3.302475929E0,2.651616372E-2
1.180840417E-1,2.098956853E-1,-3.580319166E0,-7.069133967E-2
1.280970417E-1,6.522144079E-1,-3.631425381E0,-3.056455255E-1
1.381110417E-1,1.016465545E0,-3.631558895E0,-6.379470825E-1
1.481240417E-1,1.267850637E0,-3.450200558E0,-1.011814594E0
1.581370417E-1,1.421865225E0,-3.067849636E0,-1.327376366E0
1.681500417E-1,1.543511987E0,-2.666941643E0,-1.480192780E0
1.781630417E-1,1.455146909E0,-2.958966255E0,-1.295378447E0
1.881770417E-1,1.129917264E0,-3.496492147E0,-7.989334464E-1
1.981900417E-1,8.162328005E-1,-3.131556034E0,-3.882889152E-1
2.082030417E-1,7.200086117E-1,-1.999431014E0,-1.639752388E-1
2.182160417E-1,6.790620089E-1,-9.582174420E-1,-2.857182175E-3
2.282300417E-1,6.081733108E-1,1.055015400E-1,2.175609767E-1
2.382430417E-1,4.559534192E-1,8.583782315E-1,6.168929338E-1
2.482560417E-1,3.245276809E-1,9.280081987E-1,1.037194729E0
2.582690417E-1,1.967191249E-1,8.213400841E-1,1.393017888E0
2.682830417E-1,8.398340642E-2,7.052889466E-1,1.696563840E0
2.782960417E-1,4.298936576E-2,5.342615247E-1,1.958291292E0
2.883090417E-1,9.283338487E-2,3.604558408E-1,2.166737080E0
2.983220417E-1,2.190493792E-1,2.270759493E-1,2.174722433E0
3.083360417E-1,3.369517624E-1,3.606310487E-1,1.888848662E0
3.183490417E-1,3.735198975E-1,5.720847249E-1,1.364824653E0
3.283620417E-1,2.129331231E-1,5.092351437E-1,9.488040805E-1
3.383750417E-1,4.793511331E-2,4.794351757E-1,6.850443482E-1
3.483880417E-1,-1.565883011E-1,5.758961439E-1,5.338256955E-1
3.584020417E-1,-3.263272643E-1,6.151689887E-1,5.854462981E-1
3.684150417E-1,-4.028525651E-1,6.128966808E-1,6.998009086E-1
3.784280417E-1,-3.568469882E-1,6.754591465E-1,7.436046004E-1
3.884410417E-1,-2.713919878E-1,6.379833817E-1,6.527862549E-1
3.984550417E-1,-1.512323171E-1,4.497666359E-1,4.941748083E-1
4.084680417E-1,-3.550725430E-2,3.255862892E-1,3.531446457E-1
4.184810417E-1,5.974736065E-2,2.791740596E-1,2.717360556E-1
4.284940417E-1,9.974245727E-2,2.264735997E-1,2.634162307E-1
4.385080417E-1,8.088220656E-2,1.555501670E-1,2.796465755E-1
4.485210417E-1,3.565138578E-2,5.348613858E-2,2.852556407E-1
4.585340417E-1,-7.114987820E-3,1.409478858E-2,2.437340170E-1
4.685470417E-1,-2.032966726E-2,9.756053239E-2,2.112218142E-1
4.785600417E-1,-3.506733477E-2,1.842735857E-1,2.004528046E-1
4.885740417E-1,-4.342574626E-2,2.343972325E-1,2.039539665E-1
4.985870417E-1,-4.777921736E-2,2.634912133E-1,2.084134221E-1
5.086000417E-1,-5.345333368E-2,2.659097910E-1,2.114905864E-1
5.186130417E-1,-3.689859062E-2,2.732313573E-1,2.005913407E-1
5.286270417E-1,-1.485376246E-2,2.626325786E-1,1.822905242E-1
5.386400417E-1,-9.425440803E-3,2.223922312E-1,1.656569391E-1
5.486530417E-1,7.958281785E-4,1.900078803E-1,1.541562229E-1
5.586660417E-1,2.317090705E-2,1.785208732E-1,1.474282742E-1
5.686800417E-1,5.111221224E-2,1.251535714E-1,1.236814931E-1
5.786930417E-1,9.925577044E-2,1.007670015E-1,1.176829934E-1
5.887060417E-1,1.521547139E-1,1.152076498E-1,1.261266023E-1
5.987190417E-1,1.952481270E-1,1.879244596E-1,1.374817789E-1
6.087320417E-1,2.109113187E-1,2.972529233E-1,1.358551979E-1
6.187460417E-1,1.868347377E-1,3.142772019E-1,1.152327433E-1
6.287590417E-1,1.857466698E-1,2.579624057E-1,7.669065148E-2
6.387720417E-1,2.179935575E-1,1.737601608E-1,7.370152324E-2
6.487850417E-1,2.521595061E-1,1.727921329E-2,8.473978937E-2
6.587990417E-1,3.039758503E-1,-1.248952448E-1,1.017121151E-1
6.688120417E-1,3.485466838E-1,-2.936775386E-1,1.121836975E-1
