"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.944958338E-3,-2.329156494E-1,-6.176156616E-1,9.661059723E0
1.295895834E-2,-2.333647156E-1,-6.120771790E-1,9.618548126E0
2.297295834E-2,-2.038760376E-1,-6.010002136E-1,9.606123962E0
3.298695834E-2,-1.983375549E-1,-5.932164001E-1,9.595795441E0
4.300095834E-2,-1.865121460E-1,-6.033952332E-1,9.602980499E0
5.301495834E-2,-1.917512512E-1,-6.010002136E-1,9.638307037E0
6.302995834E-2,-2.010319519E-1,-6.032455444E-1,9.654772797E0
7.304395834E-2,-2.122586060E-1,-6.123765564E-1,9.634415131E0
8.305795834E-2,-2.044747925E-1,-6.053411865E-1,9.632768555E0
9.307195834E-2,-1.938468933E-1,-6.002517700E-1,9.618997192E0
1.030859583E-1,-1.924996948E-1,-5.957611084E-1,9.599986725E0
1.130999583E-1,-1.904040527E-1,-5.903723145E-1,9.608219604E0
1.231139583E-1,-1.951940918E-1,-5.950126648E-1,9.627828827E0
1.331279583E-1,-2.014810181E-1,-6.078858948E-1,9.634415131E0
1.431419583E-1,-2.152523804E-1,-6.224057007E-1,9.660460968E0
1.531559583E-1,-2.239343262E-1,-6.093827820E-1,9.673334198E0
1.631699583E-1,-2.121089172E-1,-6.075865173E-1,9.651180267E0
1.731839583E-1,-2.130070496E-1,-6.173162842E-1,9.639055481E0
1.831979583E-1,-1.963916016E-1,-6.047424316E-1,9.626481628E0
1.932119583E-1,-1.811233521E-1,-6.059399414E-1,9.603429565E0
2.032262083E-1,-1.942959595E-1,-5.969586182E-1,9.593999176E0
2.132402083E-1,-2.010319519E-1,-6.021977234E-1,9.617200928E0
2.232542083E-1,-2.074685669E-1,-6.075865173E-1,9.635013885E0
2.332682083E-1,-2.210902405E-1,-6.036946106E-1,9.648186493E0
2.432832083E-1,-2.121089172E-1,-6.192622375E-1,9.668544159E0
2.532972083E-1,-2.101629639E-1,-6.125262451E-1,9.654473419E0
2.633112083E-1,-2.131567383E-1,-6.228547668E-1,9.646390228E0
2.733252083E-1,-1.999841309E-1,-6.080355835E-1,9.619446259E0
2.833392083E-1,-1.929487610E-1,-5.894741821E-1,9.599986725E0
2.933532083E-1,-1.890568542E-1,-5.881269836E-1,9.593699799E0
3.033672083E-1,-1.913021851E-1,-5.969586182E-1,9.612859955E0
3.133812083E-1,-2.050735474E-1,-6.062393188E-1,9.630822601E0
3.233952083E-1,-2.080673218E-1,-6.143225098E-1,9.640552368E0
3.334092083E-1,-2.091151428E-1,-6.213578796E-1,9.654174042E0
3.434232083E-1,-2.143542480E-1,-6.200106812E-1,9.659113770E0
3.534372083E-1,-2.233355713E-1,-6.170169067E-1,9.651779022E0
3.634512083E-1,-2.137554932E-1,-6.057902527E-1,9.628128204E0
3.734652083E-1,-2.092648315E-1,-5.983058167E-1,9.609417114E0
3.834792083E-1,-2.002835083E-1,-6.030958557E-1,9.589658203E0
3.934932083E-1,-1.905537415E-1,-5.968089294E-1,9.603130188E0
4.035072083E-1,-1.957928467E-1,-6.042933655E-1,9.625433807E0
4.135212083E-1,-1.996847534E-1,-6.029461670E-1,9.637857971E0
4.235362083E-1,-2.019300842E-1,-6.096821594E-1,9.656269684E0
4.335502083E-1,-2.032772827E-1,-6.132746887E-1,9.663155365E0
4.435642083E-1,-2.103126526E-1,-6.065386963E-1,9.649084625E0
4.535782083E-1,-2.157014465E-1,-5.905220032E-1,9.620344391E0
4.635922083E-1,-1.933978271E-1,-5.881269836E-1,9.587562561E0
4.736062083E-1,-1.941462708E-1,-5.870791626E-1,9.580676880E0
4.836202083E-1,-1.823208618E-1,-5.788462830E-1,9.572144623E0
4.936342083E-1,-1.808239746E-1,-5.908213806E-1,9.611662445E0
