"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.300095834E-2,2.012779936E-3,-2.361428924E-4,6.814845838E-4
5.301495834E-2,-1.147061586E-3,-1.788847148E-4,-7.795253769E-4
6.302995834E-2,1.976633444E-3,-7.470487617E-4,-1.400541514E-4
7.304395834E-2,6.519779563E-4,-2.692488022E-3,-7.232865319E-4
8.305795834E-2,4.978815094E-3,-8.120872080E-4,3.116725478E-3
9.307195834E-2,2.248542383E-3,-1.910109073E-3,-1.329155639E-3
1.030859583E-1,1.359738410E-3,-5.552372895E-4,-1.568686217E-3
1.130999583E-1,-1.632323489E-3,4.930049181E-5,-2.813447732E-3
1.231139583E-1,5.863793194E-5,5.658632144E-4,-2.322721761E-3
1.331279583E-1,-2.889480442E-3,1.059613191E-3,-1.626039390E-3
1.431419583E-1,-1.549581066E-3,9.940108284E-4,-1.925411634E-4
1.531559583E-1,1.279227436E-3,-8.313199505E-4,3.076004796E-4
1.631699583E-1,4.318084568E-3,-3.685196862E-5,-1.772305463E-3
1.731839583E-1,6.200186908E-4,-1.484812237E-3,1.613637432E-3
1.831979583E-1,3.547379747E-3,-1.286439598E-3,-1.459591556E-3
1.932119583E-1,-7.831864059E-4,-1.316927373E-4,-1.032154541E-3
2.032262083E-1,2.507884055E-4,9.599188343E-4,-1.650308259E-3
2.132402083E-1,-3.846418113E-4,2.204147633E-3,4.047062248E-6
2.232542083E-1,-1.783071086E-3,2.200873569E-3,-2.710710745E-3
2.332682083E-1,1.747747883E-3,-2.739345655E-5,3.343480639E-4
2.432832083E-1,2.731785178E-3,2.260758542E-3,2.407352673E-3
2.532972083E-1,1.917656511E-3,-1.557148993E-3,-1.483791973E-3
2.633112083E-1,1.677487046E-3,-3.841724247E-4,6.186342798E-4
2.733252083E-1,9.155571461E-4,-1.188979484E-3,-2.767206170E-4
2.833392083E-1,6.404053420E-4,1.579165459E-3,-9.820526466E-4
2.933532083E-1,-1.535398886E-3,-1.390791964E-3,3.165048547E-4
3.033672083E-1,-8.446220309E-4,-2.215322107E-3,-1.546834130E-3
3.133812083E-1,2.672467381E-4,2.468112856E-3,2.672678325E-3
3.233952083E-1,-1.349717379E-3,5.185464397E-4,9.769569151E-4
3.334092083E-1,2.005066723E-3,-1.560583711E-3,-3.578192554E-4
3.434232083E-1,4.028566182E-3,8.152173832E-4,6.092269905E-4
3.534372083E-1,1.088436693E-3,1.558772288E-3,2.049997216E-3
3.634512083E-1,-3.929585218E-4,7.687397301E-4,1.336440444E-3
3.734652083E-1,6.669797003E-4,2.012201585E-4,4.316251259E-3
3.834792083E-1,-2.327807248E-3,3.053648397E-4,6.837821566E-4
3.934932083E-1,-4.856212996E-3,1.886216924E-3,1.768221147E-3
4.035072083E-1,-2.964895219E-3,3.654147265E-3,2.662257990E-3
4.135212083E-1,-3.298589960E-3,3.536916338E-4,1.639604103E-3
4.235362083E-1,-4.454348236E-4,1.381472219E-3,-5.161152221E-4
4.335502083E-1,1.701604575E-3,-1.682210714E-4,2.351310337E-3
4.435642083E-1,1.429513097E-3,-1.692993101E-3,1.264650840E-3
4.535782083E-1,5.160477012E-4,-1.474880148E-3,1.232692972E-3
4.635922083E-1,-3.697331995E-4,2.039899584E-3,8.680457249E-4
4.736062083E-1,-4.722935148E-3,-1.129528508E-3,-2.480852418E-4
4.836202083E-1,-7.941167802E-3,9.045000188E-4,5.177240819E-4
4.936342083E-1,-1.138436887E-2,1.399581786E-3,-5.707098171E-4
5.036482083E-1,-6.448380649E-3,-5.850195885E-5,-1.489392016E-3
5.136622083E-1,-2.709303051E-3,4.456238821E-5,-7.807244547E-4
5.236762083E-1,2.977196127E-4,-2.411128953E-4,-1.286799088E-3
5.336902083E-1,4.929754883E-3,-4.336788785E-3,-1.554180402E-3
5.437042083E-1,3.353366628E-3,-3.689299338E-4,-2.534941304E-3
5.537182083E-1,3.275869414E-3,-1.532464754E-3,1.362087205E-4
5.637322083E-1,-1.052699983E-3,-1.048913691E-3,-2.092359122E-3
5.737462083E-1,-2.740077674E-3,-4.773992114E-4,-4.241545685E-4
5.837602083E-1,-5.508767441E-3,-6.230594590E-5,-1.922298688E-3
5.937742083E-1,-8.379388601E-3,7.488927804E-4,-2.929768525E-4
6.037882083E-1,-3.969783895E-3,9.615370072E-4,-3.827511333E-3
6.138032083E-1,5.237683654E-4,-2.312925644E-4,1.091738231E-4
6.238172083E-1,1.364449039E-3,-2.237496898E-3,-8.229115047E-4
6.338312083E-1,3.588721156E-3,-4.342710599E-4,5.619786680E-5
6.438452083E-1,3.550365567E-3,-3.224192187E-5,6.062099710E-4
6.538592083E-1,3.130119294E-3,3.224909306E-4,-3.948719241E-4
6.638732083E-1,-1.433787867E-3,-3.144619986E-4,-2.202931792E-4
6.738872083E-1,-6.605912931E-3,2.596106846E-3,2.173356013E-3
6.839012083E-1,-7.106333971E-3,1.226649620E-3,-1.096001361E-3
6.939152083E-1,-4.165405408E-3,4.639201798E-4,-3.495174460E-4
7.039292083E-1,1.300793141E-3,-2.138802316E-3,9.223273955E-4
7.139432083E-1,5.937255919E-4,3.034654306E-3,2.240059432E-3
7.239572083E-1,6.007008255E-3,1.202303451E-3,1.979764784E-3
7.339712083E-1,6.599560380E-3,1.449711155E-3,1.411712728E-3
7.439852083E-1,7.691122591E-4,2.897242084E-4,2.980976366E-3
7.539992083E-1,1.420786604E-3,2.231448889E-4,2.982840408E-3
7.640132084E-1,-2.462483943E-3,2.606588881E-3,3.415298648E-3
7.740272084E-1,-4.594876431E-3,2.589012031E-3,4.048612900E-4
7.840412084E-1,1.148028299E-3,7.109381258E-4,1.189612318E-3
7.940562083E-1,-2.447240055E-3,-1.801555045E-4,1.358190551E-3
8.040702083E-1,4.475563765E-3,4.161647521E-4,2.103499137E-3
8.140842083E-1,3.315756097E-3,3.019670723E-3,3.055579262E-3
8.240982083E-1,5.127515644E-3,6.178258918E-4,2.568282420E-3
8.341122083E-1,1.957822591E-3,1.589632593E-4,1.327781938E-3
8.441262083E-1,-1.195222139E-4,7.766624913E-4,4.599462263E-4
8.541402083E-1,-1.526203007E-3,1.522613689E-3,5.514593795E-5
8.641542083E-1,-1.192832366E-3,9.292280301E-4,1.954724081E-3
8.741682083E-1,2.263486385E-5,-1.419946551E-3,-1.051984727E-3
8.841822083E-1,-2.071235329E-3,-1.239597797E-3,-4.056266975E-3
8.941962083E-1,-1.652587205E-3,-1.122816466E-4,2.574471524E-3
9.042102083E-1,1.252073795E-3,-2.484335564E-4,9.934934787E-4
9.142242083E-1,4.656426609E-4,1.735621598E-3,6.243796088E-4
9.242382084E-1,-1.505412161E-3,-4.755971022E-4,-3.073844127E-4
9.342522084E-1,1.928467304E-3,-4.762737080E-5,9.240615182E-4
