"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.046862500E-2,-1.219813385E0,2.813998260E0,9.299561462E0
7.048162500E-2,-9.723779297E-1,2.686463470E0,9.287137299E0
8.049562500E-2,-6.968009949E-1,2.525548096E0,9.194180603E0
9.050962500E-2,-5.526507568E-1,2.450104980E0,9.108708344E0
1.005226250E-1,-5.218148804E-1,2.480342102E0,9.083111572E0
1.105366250E-1,-5.105882263E-1,2.497556305E0,9.123826904E0
1.205506250E-1,-5.980064392E-1,2.513123932E0,9.112001495E0
1.305636250E-1,-7.159611511E-1,2.545606384E0,9.184301147E0
1.405776250E-1,-7.496411133E-1,2.521805878E0,9.259594574E0
1.505916250E-1,-6.812333679E-1,2.471211090E0,9.250313873E0
1.606046250E-1,-6.062393188E-1,2.422562256E0,9.211993561E0
1.706186250E-1,-5.403762817E-1,2.440674591E0,9.162147217E0
1.806326250E-1,-5.867797852E-1,2.533780975E0,9.107959900E0
1.906456250E-1,-6.592291260E-1,2.677182770E0,9.051976318E0
2.006596250E-1,-7.223977661E-1,2.797981567E0,9.106313324E0
2.106736250E-1,-7.432044983E-1,2.808310089E0,9.127868500E0
2.206876250E-1,-6.550378418E-1,2.736160126E0,9.175319824E0
2.307006250E-1,-5.667214966E-1,2.671644287E0,9.217232666E0
2.407146250E-1,-5.333409119E-1,2.677033081E0,9.270072784E0
2.507286250E-1,-5.560935974E-1,2.699785767E0,9.349108429E0
2.607416250E-1,-5.610333252E-1,2.740052032E0,9.299711151E0
2.707556250E-1,-5.508544922E-1,2.789449310E0,9.225914612E0
2.807696250E-1,-5.498066711E-1,2.830763397E0,9.167536011E0
2.907826250E-1,-5.050497437E-1,2.878663788E0,9.101223907E0
3.007966250E-1,-4.769082642E-1,2.953508148E0,9.056766357E0
3.108106250E-1,-4.706213379E-1,3.011138306E0,8.959917755E0
3.208236250E-1,-3.348536682E-1,2.987038422E0,8.985065460E0
3.308376250E-1,-1.953437805E-1,2.932102661E0,9.021888885E0
3.408516250E-1,-2.570155334E-1,2.938389587E0,9.044342194E0
3.508646250E-1,-3.266207886E-1,2.979553986E0,9.049281921E0
3.608786250E-1,-4.587959290E-1,3.047362976E0,9.065897369E0
3.708926250E-1,-7.197033691E-1,3.054398346E0,8.900341644E0
3.809056250E-1,-8.210426331E-1,3.134781189E0,8.820856934E0
3.909196250E-1,-7.406597900E-1,3.291804657E0,9.093140717E0
4.009336250E-1,-7.924520874E-1,3.379821625E0,9.294771423E0
4.109466250E-1,-8.286767578E-1,3.419339447E0,9.518556061E0
4.209606250E-1,-7.932005310E-1,3.167113953E0,9.989177399E0
4.309743750E-1,-4.905299377E-1,2.636766815E0,1.036025574E1
4.409873750E-1,8.412506104E-2,2.185754700E0,1.061787003E1
4.510013750E-1,6.429130554E-1,1.875000916E0,1.055335419E1
4.610153750E-1,9.982740784E-1,1.756896515E0,9.778116302E0
4.710283750E-1,8.848100281E-1,1.705852661E0,8.791967010E0
4.810423750E-1,6.611750793E-1,1.471739502E0,8.809929657E0
4.910563750E-1,5.584886169E-1,1.091230774E0,9.705666962E0
5.010693750E-1,4.429289246E-1,5.776487732E-1,1.106034988E1
5.110833750E-1,3.254232788E-1,1.076261902E-1,1.180954193E1
5.210973750E-1,1.463955688E-1,9.445358276E-2,1.134011810E1
5.311113750E-1,-2.628533936E-1,2.270777893E-1,1.063209045E1
5.411243750E-1,-7.903564453E-1,3.396437073E-1,1.031160690E1
5.511383750E-1,-9.822573853E-1,1.287322998E-2,1.057685532E1
5.611523750E-1,-1.114282837E0,-7.078779602E-1,1.104238724E1
