"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.268086250E-1,-1.650270820E-1,-2.026768327E-1,-7.420664281E-2
1.368216250E-1,-1.675767899E-1,-1.694450974E-1,-5.860877410E-2
1.468356250E-1,-1.790027320E-1,-1.331484914E-1,-5.870499462E-2
1.568496250E-1,-1.989247799E-1,-9.055415541E-2,-6.650485843E-2
1.668626250E-1,-2.242323160E-1,-3.442688659E-2,-6.345519423E-2
1.768766250E-1,-2.466723919E-1,2.360019460E-2,-4.776624590E-2
1.868906250E-1,-2.594205141E-1,8.174982667E-2,-1.652609557E-2
1.969036250E-1,-2.606466413E-1,1.138832644E-1,1.172391698E-2
2.069176250E-1,-2.552999258E-1,1.245525926E-1,2.538502030E-2
2.169316250E-1,-2.265457809E-1,1.250793636E-1,3.372524306E-2
2.269446250E-1,-1.829012334E-1,1.304198951E-1,4.536869749E-2
2.369586250E-1,-1.249276847E-1,1.329858601E-1,5.788528547E-2
2.469726250E-1,-8.938353509E-2,1.127895042E-1,6.137562543E-2
2.569856250E-1,-9.721997380E-2,8.730745316E-2,5.368626490E-2
2.669996250E-1,-1.416405886E-1,7.158368826E-2,3.519737720E-2
2.770136250E-1,-2.169838101E-1,7.298611104E-2,4.812574945E-3
2.870266250E-1,-3.004795909E-1,1.054181084E-1,-1.549319830E-2
2.970406250E-1,-3.941467106E-1,1.418006122E-1,-2.438176423E-2
3.070546250E-1,-4.997629821E-1,1.654896885E-1,-1.684881002E-2
3.170676250E-1,-5.865399241E-1,1.646478623E-1,-9.954686277E-3
3.270816250E-1,-6.385679841E-1,1.526734531E-1,-7.832817733E-3
3.370956250E-1,-6.718662977E-1,1.110218838E-1,-1.085364074E-2
3.471086250E-1,-7.102571130E-1,3.919220343E-2,-1.957668737E-2
3.571226250E-1,-7.762182355E-1,-8.584560454E-2,-5.385290086E-2
3.671366250E-1,-8.910652399E-1,-2.141057849E-1,-1.182735264E-1
3.771506250E-1,-1.070164680E0,-3.511419296E-1,-1.930950433E-1
3.871636250E-1,-1.319814801E0,-5.541139245E-1,-2.696669996E-1
3.971776250E-1,-1.607088208E0,-6.858283281E-1,-3.817863464E-1
4.071916250E-1,-1.911085248E0,-7.487274408E-1,-5.316469073E-1
4.172046250E-1,-2.261085987E0,-7.965700626E-1,-7.298496962E-1
4.272183750E-1,-2.665842295E0,-8.407340646E-1,-9.543832541E-1
4.372323750E-1,-3.100747824E0,-8.792263269E-1,-1.125210404E0
4.472453750E-1,-3.529344320E0,-8.274144530E-1,-1.184743166E0
4.572593750E-1,-3.866174221E0,-5.000629425E-1,-1.131616592E0
4.672733750E-1,-4.074376106E0,1.417377144E-1,-1.002773762E0
4.772863750E-1,-4.161777496E0,8.575336337E-1,-8.208889365E-1
4.873003750E-1,-4.119127274E0,1.461064577E0,-6.225596666E-1
4.973143750E-1,-3.978053570E0,1.819031835E0,-4.292359948E-1
5.073273750E-1,-3.713959455E0,2.053558111E0,-1.797850728E-1
5.173413750E-1,-3.318011284E0,2.326804399E0,1.728552580E-1
5.273553750E-1,-2.815036297E0,2.628909111E0,6.077941060E-1
5.373683750E-1,-2.239108086E0,2.875620604E0,1.080941200E0
5.473823750E-1,-1.630631447E0,2.918218374E0,1.546896935E0
5.573963750E-1,-1.021811008E0,2.753765583E0,1.939207435E0
5.674093750E-1,-4.218466580E-1,2.470202446E0,2.233181477E0
5.774233750E-1,1.497404277E-1,2.114083290E0,2.434866667E0
5.874373750E-1,6.792088151E-1,1.651323795E0,2.533476114E0
5.974503750E-1,1.157904267E0,1.113088727E0,2.474601030E0
6.074643750E-1,1.560406208E0,6.097007990E-1,2.224075079E0
6.174783750E-1,1.894849420E0,1.311861873E-1,1.839676380E0
6.274913750E-1,2.243324280E0,-3.859764040E-1,1.434717298E0
6.375053750E-1,2.621194839E0,-8.046982884E-1,1.066134214E0
6.475193750E-1,3.029081583E0,-1.230198860E0,7.080402970E-1
6.575323750E-1,3.339021921E0,-1.618530035E0,2.289259136E-1
6.675463750E-1,3.380358696E0,-2.292357683E0,-4.666103423E-1
6.775603750E-1,3.110933542E0,-3.048243046E0,-1.204195738E0
6.875733750E-1,2.690049887E0,-2.835604191E0,-1.663305640E0
6.975873750E-1,2.132853270E0,-2.541544676E0,-1.827465653E0
7.076013750E-1,1.495058894E0,-2.115872860E0,-1.688336611E0
7.176143750E-1,8.550972342E-1,-1.517175674E0,-1.348115563E0
7.276283750E-1,2.432093024E-1,-9.501702785E-1,-9.232580066E-1
7.376423750E-1,-2.401288748E-1,-6.244952679E-1,-4.391925335E-1
7.476553750E-1,-5.085623264E-1,-3.121620417E-1,4.888936132E-2
7.576693750E-1,-5.231764317E-1,2.129288763E-2,4.420880675E-1
7.676833750E-1,-3.221821785E-1,4.029957652E-1,5.715392828E-1
7.776973750E-1,7.946753502E-2,6.099489331E-1,5.514438748E-1
7.877103750E-1,5.733804107E-1,4.982294738E-1,5.166020393E-1
7.977243750E-1,1.008284211E0,-1.675157994E-2,4.523732364E-1
8.077383750E-1,1.361559153E0,-6.501812339E-1,3.469848931E-1
8.177513750E-1,1.685820103E0,-1.009422183E0,2.552243471E-1
8.277653750E-1,1.963418126E0,-1.012465119E0,1.757642627E-1
8.377793750E-1,2.173876524E0,-5.907405615E-1,1.570094973E-1
8.477923750E-1,2.219376564E0,-4.063067734E-1,1.839043498E-1
8.578063750E-1,2.083817720E0,-3.233066797E-1,3.106604218E-1
8.678203750E-1,1.766746759E0,-3.766289949E-1,4.094842076E-1
8.778333750E-1,1.375238180E0,-4.402364790E-1,4.832399189E-1
8.878473750E-1,9.978640079E-1,-4.532450438E-1,5.521938205E-1
8.978613750E-1,7.025713921E-1,-4.514466226E-1,5.772590041E-1
9.078743750E-1,5.237208009E-1,-3.914012015E-1,5.706697702E-1
9.178883750E-1,4.226959050E-1,-2.644437850E-1,5.095611811E-1
9.279023750E-1,3.492852747E-1,-1.384159774E-1,4.038489461E-1
9.379153750E-1,3.130726814E-1,-3.336733580E-2,3.333358765E-1
9.479293750E-1,3.166828454E-1,-7.393887639E-2,3.729660809E-1
9.579433750E-1,3.379774988E-1,-2.295931876E-1,4.945161939E-1
9.679563750E-1,3.928909898E-1,-4.168036580E-1,5.794380903E-1
9.779703750E-1,4.654144645E-1,-5.274161696E-1,5.845550895E-1
9.879843750E-1,4.827009141E-1,-6.221233606E-1,5.514590740E-1
9.979973750E-1,4.471048415E-1,-7.454823256E-1,5.035821199E-1
1.008011375E0,4.071900249E-1,-8.415240645E-1,4.321161807E-1
1.018025375E0,3.426744342E-1,-8.326583505E-1,3.616936803E-1
1.028038375E0,2.337641418E-1,-7.281060815E-1,3.188418150E-1
1.038052375E0,1.269790977E-1,-5.747687221E-1,3.046748638E-1
1.048066375E0,2.949872054E-2,-4.230025113E-1,3.018300235E-1
1.058079375E0,-6.341710687E-2,-2.823303342E-1,2.936141491E-1
1.068093375E0,-8.782060444E-2,-8.531799167E-2,2.841988802E-1
1.078107375E0,-6.977449358E-2,1.247500181E-1,3.214809895E-1
1.088120375E0,-5.863386393E-2,2.451292872E-1,3.532655835E-1
1.098134375E0,-6.246960908E-2,2.651509643E-1,3.966420889E-1
1.108148375E0,-6.846260279E-2,2.198758274E-1,4.388806522E-1
1.118161375E0,-6.906554103E-2,1.460008025E-1,4.537213743E-1
1.128175375E0,-6.625681370E-2,5.020508170E-2,4.582545459E-1
1.138189375E0,-5.061846972E-2,-5.261371378E-3,4.190347195E-1
1.148202375E0,-2.449775115E-2,-2.979957126E-2,3.506271541E-1
1.158216375E0,-3.533346578E-3,-3.358791769E-2,2.765198946E-1
1.168230375E0,1.260629110E-2,-2.748607472E-2,2.152027041E-1
1.178243375E0,2.819190733E-2,6.131808273E-3,1.804210246E-1
1.188257375E0,3.483605385E-2,4.365374520E-2,1.713013202E-1
1.198271375E0,2.691181749E-2,6.087747589E-2,1.594121605E-1
1.208284375E0,1.178470813E-2,6.812513620E-2,1.501659155E-1
1.218298375E0,-3.623278812E-3,5.142365396E-2,1.329179555E-1
1.228312375E0,-9.686837904E-3,1.800908707E-2,1.140287593E-1
1.238325375E0,7.144872099E-3,3.992338199E-3,1.049910560E-1
1.248339375E0,5.030721426E-2,2.315171063E-2,1.054647341E-1
1.258353375E0,9.786035120E-2,1.541016623E-2,1.189429983E-1
1.268366375E0,1.656773388E-1,-1.278598700E-2,1.316260546E-1
1.278380375E0,2.484478354E-1,-4.676978663E-2,1.255753487E-1
1.288394375E0,3.342217207E-1,-6.830985844E-2,1.029644236E-1
1.298407375E0,3.870921433E-1,-9.356647730E-2,7.349734753E-2
1.308421375E0,3.754686713E-1,-1.428267062E-1,4.044249281E-2
1.318435375E0,3.072470129E-1,-1.748813093E-1,2.464887872E-2
1.328448375E0,2.153595835E-1,-1.841971278E-1,1.199209690E-2
1.338462375E0,1.156708151E-1,-1.909791380E-1,-3.920823336E-3
1.348476375E0,5.327791348E-2,-1.932309717E-1,-2.475581318E-2
1.358489375E0,4.182765260E-2,-1.764794141E-1,-4.684273899E-2
1.368503375E0,7.814574242E-2,-1.404677033E-1,-4.675955325E-2
1.378517375E0,1.405798197E-1,-8.679888397E-2,-3.006606363E-2
1.388530375E0,1.697979420E-1,-4.369113222E-2,5.858120043E-3
1.398544375E0,1.539177746E-1,-3.459323943E-2,4.072768986E-2
1.408558375E0,9.674309194E-2,-3.488606960E-2,6.903699040E-2
1.418571375E0,3.286531568E-2,-4.033276811E-2,6.793018430E-2
1.428585250E0,-1.214910485E-2,-1.279583387E-2,5.526319891E-2
1.438599250E0,-3.756258637E-2,4.407357797E-2,4.796347395E-2
1.448612250E0,-4.140847176E-2,8.997637779E-2,4.931067675E-2
1.458626250E0,-4.665623233E-2,6.342918426E-2,5.555951595E-2
1.468640250E0,-6.049107015E-2,-4.377958179E-2,6.482501328E-2
1.478653250E0,-7.973720133E-2,-1.942479163E-1,7.085227966E-2
1.488667250E0,-1.016693115E-1,-3.600467443E-1,7.850190997E-2
1.498681250E0,-1.202168986E-1,-4.933307767E-1,7.882654667E-2
1.508694250E0,-1.300724894E-1,-5.544981956E-1,5.949439108E-2
1.518708250E0,-1.125579476E-1,-5.394542217E-1,2.293185331E-2
1.528722250E0,-5.421962589E-2,-4.165183306E-1,-1.889417134E-2
1.538735250E0,2.217873745E-2,-2.451109141E-1,-5.300180987E-2
1.548749250E0,1.033307612E-1,-8.266567439E-2,-8.200418204E-2
1.558763250E0,1.732137054E-1,2.207511663E-2,-1.083593592E-1
1.568776250E0,2.245231271E-1,7.300624251E-2,-1.331138611E-1
1.578790250E0,2.538895309E-1,5.498196930E-2,-1.574303806E-1
1.588804250E0,2.555477321E-1,2.093439922E-3,-1.804211140E-1
1.598817250E0,2.196099460E-1,-6.117447466E-2,-2.138754874E-1
1.608831250E0,1.511649787E-1,-1.138371229E-1,-2.634905875E-1
1.618845250E0,6.043801457E-2,-1.546151638E-1,-3.179514408E-1
1.628858250E0,-5.237349123E-2,-1.732547581E-1,-3.664379716E-1
1.638872250E0,-1.623748243E-1,-1.774590909E-1,-4.056721926E-1
1.648886250E0,-2.648591101E-1,-1.759485453E-1,-4.308563769E-1
1.658899250E0,-3.496184945E-1,-1.830714345E-1,-4.436123669E-1
1.668913250E0,-4.149257541E-1,-1.936341077E-1,-4.482491612E-1
1.678927250E0,-4.519780278E-1,-2.216353863E-1,-4.451646805E-1
1.688940250E0,-4.517908394E-1,-2.644006312E-1,-4.614819586E-1
1.698954250E0,-4.081546962E-1,-2.851147056E-1,-4.858988822E-1
1.708968250E0,-3.331186473E-1,-2.735154927E-1,-5.116221905E-1
1.718981250E0,-2.458226234E-1,-2.286449820E-1,-5.297822356E-1
1.728995250E0,-1.601153612E-1,-1.504542679E-1,-5.382256508E-1
1.739009250E0,-1.060651913E-1,-5.072368681E-2,-5.370600224E-1
1.749022250E0,-8.454376459E-2,4.520620778E-2,-5.324644446E-1
1.759036250E0,-9.310501814E-2,1.290728748E-1,-5.343305469E-1
1.769050250E0,-1.272135526E-1,1.854662299E-1,-5.417202115E-1
1.779063250E0,-1.777707189E-1,1.853546351E-1,-5.383236408E-1
1.789077250E0,-2.317530364E-1,2.040249258E-1,-5.359709263E-1
1.799091250E0,-2.699449062E-1,1.898779422E-1,-5.615004897E-1
1.809104250E0,-2.967687845E-1,1.237118095E-1,-5.954274535E-1
1.819118250E0,-2.962478697E-1,7.920558751E-2,-6.190563440E-1
1.829132250E0,-2.676750124E-1,5.628223345E-2,-6.219505668E-1
1.839145250E0,-2.331910729E-1,6.388528645E-2,-5.886352062E-1
1.849159250E0,-1.923907399E-1,9.420098364E-2,-5.380729437E-1
1.859172250E0,-1.537576020E-1,1.301760375E-1,-4.851141572E-1
1.869186250E0,-1.205331013E-1,1.258421987E-1,-4.310238659E-1
1.879200250E0,-9.180798382E-2,9.867370129E-2,-3.835817873E-1
1.889213250E0,-5.450951308E-2,4.330282658E-2,-3.416914642E-1
1.899227250E0,5.785059184E-4,-3.236980643E-3,-3.089007735E-1
1.909241250E0,6.026371941E-2,-3.897826001E-2,-2.804389298E-1
1.919254250E0,1.133961827E-1,-3.123591840E-2,-2.425107211E-1
1.929268250E0,1.565289199E-1,2.291212790E-2,-1.986863762E-1
1.939282250E0,1.842111498E-1,8.675262332E-2,-1.467262357E-1
1.949295250E0,1.931175441E-1,1.445567012E-1,-1.098374203E-1
1.959309250E0,1.978281438E-1,1.756016910E-1,-8.373577893E-2
1.969323250E0,2.218181044E-1,2.066349238E-1,-6.817889214E-2
1.979336250E0,2.638584971E-1,2.642268538E-1,-4.044952244E-2
1.989350250E0,3.085524440E-1,3.468751907E-1,5.783122499E-3
1.999364250E0,3.580526114E-1,5.036008954E-1,7.845386863E-2
2.009377250E0,3.737960756E-1,6.696532369E-1,1.929672509E-1
2.019391250E0,3.541685641E-1,7.800607085E-1,3.041283786E-1
2.029405250E0,3.035377264E-1,7.781105042E-1,3.866280913E-1
2.039418250E0,2.364521921E-1,6.637778282E-1,4.361924529E-1
2.049432250E0,1.895112246E-1,4.833916426E-1,4.536724389E-1
2.059446250E0,1.440806389E-1,2.701848447E-1,4.458321035E-1
2.069459250E0,7.614663243E-2,6.095766276E-2,4.247288108E-1
2.079473250E0,-3.705342487E-2,-1.213647351E-1,3.960356712E-1
2.089487250E0,-2.109503448E-1,-2.659266591E-1,3.550117314E-1
2.099500250E0,-4.404610395E-1,-3.927378654E-1,2.901712358E-1
2.109514250E0,-6.588048339E-1,-4.748005569E-1,2.098466009E-1
2.119528250E0,-7.917911410E-1,-4.722135663E-1,1.431882083E-1
2.129541250E0,-8.118180037E-1,-3.575810492E-1,1.247671843E-1
2.139555250E0,-7.197253704E-1,-1.111409143E-1,1.846941710E-1
2.149569250E0,-5.446075797E-1,2.064958811E-1,3.109776378E-1
2.159582250E0,-3.320777416E-1,4.683096409E-1,4.704956710E-1
2.169596250E0,-1.340281367E-1,5.937635303E-1,6.016033292E-1
2.179610250E0,2.657353319E-2,5.767619610E-1,6.846588254E-1
2.189623250E0,1.388847977E-1,4.677262604E-1,7.186312675E-1
2.199637250E0,1.736196131E-1,2.873900533E-1,7.566832900E-1
2.209651250E0,1.812940240E-1,1.712638885E-1,7.415803075E-1
2.219664250E0,1.465666741E-1,2.994910255E-2,6.850158572E-1
2.229678250E0,7.273556292E-2,-1.161489263E-1,6.272174120E-1
2.239691250E0,-1.341130771E-2,-2.290323377E-1,5.564407110E-1
2.249705250E0,-1.035075486E-1,-3.301751912E-1,4.681588411E-1
2.259719250E0,-1.912105083E-1,-4.113129377E-1,3.655057251E-1
2.269732250E0,-2.614412904E-1,-4.434525669E-1,2.602050304E-1
2.279746250E0,-3.132424653E-1,-4.075955153E-1,1.687337309E-1
