"Time (s)"	"X (m/s^2)"	"Y (m/s^2)"	"Z (m/s^2)"
1.930791666E-3	2.033371582E0	5.060975647E0	8.197403412E0
1.194379167E-2	2.040856018E0	5.017715607E0	8.271050262E0
2.195779167E-2	2.129322052E0	4.878954163E0	7.962691498E0
3.197179166E-2	2.186054077E0	4.832400970E0	7.586224365E0
4.198579166E-2	2.172432404E0	4.895868988E0	7.622449036E0
5.199979166E-2	2.081870728E0	5.075495453E0	7.840545502E0
6.201379166E-2	1.833986206E0	5.298980713E0	8.239915009E0
7.202779166E-2	1.432371368E0	5.371879120E0	8.712182922E0
8.204079166E-2	1.139280853E0	5.190306702E0	8.954978027E0
9.205479166E-2	1.191222839E0	4.890779572E0	8.746162262E0
1.020687917E-1	1.405128021E0	4.761897583E0	8.245154114E0
1.120827917E-1	1.503323822E0	4.808899841E0	8.122259674E0
1.220967917E-1	1.407523041E0	4.924010468E0	8.240214386E0
1.321107917E-1	1.370400238E0	5.047503662E0	8.014034729E0
1.421247917E-1	1.466799774E0	5.148992615E0	7.744445343E0
1.521377917E-1	1.565744019E0	5.226531372E0	7.720195770E0
1.621517917E-1	1.564097443E0	5.221441956E0	7.787855072E0
1.721657917E-1	1.503024445E0	5.185366974E0	7.918084259E0
1.821797917E-1	1.384770355E0	5.103487244E0	8.088130646E0
1.921937917E-1	1.245709534E0	4.962480469E0	8.313561859E0
2.022077917E-1	1.165476379E0	4.821773071E0	8.523575134E0
2.122207917E-1	1.068178711E0	4.669240265E0	8.563991089E0
2.222347917E-1	9.511221313E-1	4.562212830E0	8.571026459E0
2.322487917E-1	8.536747742E-1	4.497996368E0	8.493936768E0
2.422627917E-1	8.845106506E-1	4.436025238E0	8.408015442E0
2.522767917E-1	9.857002258E-1	4.454436951E0	8.493487701E0
2.622907917E-1	9.897418213E-1	4.461472321E0	8.451724548E0
2.723047917E-1	1.068927155E0	4.377496948E0	8.437803497E0
2.823177917E-1	1.188079376E0	4.344565430E0	8.474028168E0
2.923317917E-1	1.280437317E0	4.549489288E0	8.577762451E0
3.023457917E-1	1.198707275E0	4.666845245E0	8.426876221E0
3.123597917E-1	1.146016846E0	4.652325439E0	8.605305176E0
3.223737917E-1	1.105750580E0	4.621190186E0	8.628057861E0
3.323877917E-1	1.054856415E0	4.619543610E0	8.685089264E0
3.424017917E-1	1.025667114E0	4.612807617E0	8.731642456E0
3.524147917E-1	1.017134857E0	4.598587189E0	8.785081329E0
3.624287917E-1	9.888436890E-1	4.581073608E0	8.726852417E0
3.724427917E-1	1.013242950E0	4.553979950E0	8.741372223E0
3.824567917E-1	9.822573853E-1	4.513863373E0	8.637039185E0
3.924707917E-1	9.851014709E-1	4.509821777E0	8.605454865E0
4.024847917E-1	1.021026764E0	4.556973724E0	8.649014282E0
4.124987917E-1	1.041534119E0	4.527634735E0	8.529712372E0
4.225117917E-1	1.082848206E0	4.483626251E0	8.508157196E0
4.325257917E-1	1.059047699E0	4.447850647E0	8.382268982E0
4.425397917E-1	1.022972717E0	4.421206055E0	8.349936218E0
