"Time (s)"	"X (rad/s)"	"Y (rad/s)"	"Z (rad/s)"
4.824379167E-2	-3.135322928E-1	4.001716375E-1	-4.575995803E-1
5.825779166E-2	-3.321249485E-1	4.434477389E-1	-4.401683807E-1
6.827179166E-2	-2.900496721E-1	3.802179098E-1	-4.055536687E-1
7.828579166E-2	-2.098879218E-1	2.369494438E-1	-3.778459132E-1
8.829879166E-2	-1.436255574E-1	9.794148058E-2	-3.836510479E-1
9.831279166E-2	-8.662477136E-2	7.490845025E-2	-3.943572044E-1
1.083267917E-1	-6.389895827E-2	1.049385145E-1	-3.992286623E-1
1.183407917E-1	-8.263398707E-2	1.097007543E-1	-3.866460025E-1
1.283547917E-1	-1.465905905E-1	1.521179974E-1	-3.808272481E-1
1.383687917E-1	-2.452407181E-1	2.324001640E-1	-3.910774291E-1
1.483827917E-1	-3.590117395E-1	3.142987490E-1	-4.066819549E-1
1.583957917E-1	-4.672735035E-1	3.826533854E-1	-4.169328213E-1
1.684097917E-1	-5.414798260E-1	4.251134694E-1	-4.147977531E-1
1.784237917E-1	-5.623738170E-1	4.440011680E-1	-4.067305624E-1
1.884377917E-1	-5.443689823E-1	4.190979302E-1	-4.019941092E-1
1.984517917E-1	-5.014808774E-1	3.634736240E-1	-3.938651681E-1
2.084657917E-1	-4.529509246E-1	3.005852103E-1	-3.774883449E-1
2.184787917E-1	-4.165054858E-1	2.278050631E-1	-3.532571793E-1
2.284927917E-1	-3.869007230E-1	1.952199489E-1	-3.268575370E-1
2.385067917E-1	-3.829705417E-1	1.751232892E-1	-3.018761873E-1
2.485207917E-1	-3.836871982E-1	1.479361504E-1	-2.790699303E-1
2.585347917E-1	-3.813704848E-1	1.491785496E-1	-2.800734937E-1
2.685487917E-1	-3.733125627E-1	1.780354977E-1	-3.195857704E-1
2.785627917E-1	-3.720493317E-1	1.927761734E-1	-3.666298389E-1
2.885757917E-1	-3.669118285E-1	2.089785784E-1	-3.888509870E-1
2.985897917E-1	-3.586551249E-1	2.700943947E-1	-3.997685611E-1
3.086037917E-1	-3.499948084E-1	2.791877687E-1	-3.858418465E-1
3.186177917E-1	-3.327132463E-1	2.945190370E-1	-3.775620759E-1
3.286317917E-1	-3.010735512E-1	2.865481973E-1	-3.631682396E-1
3.386457917E-1	-2.671838999E-1	2.656154633E-1	-3.491498232E-1
3.486597917E-1	-2.251474857E-1	2.322367281E-1	-3.501431644E-1
3.586727917E-1	-1.855417490E-1	2.140543908E-1	-3.516744971E-1
3.686867917E-1	-1.430952251E-1	1.785677671E-1	-3.524819613E-1
3.787007917E-1	-1.077187508E-1	1.674475670E-1	-3.594697714E-1
3.887147917E-1	-7.784819603E-2	1.276293099E-1	-3.468953967E-1
3.987287917E-1	-5.088608712E-2	7.938507199E-2	-3.429834843E-1
4.087427917E-1	-2.764780261E-2	5.345745385E-2	-3.462090492E-1
4.187567917E-1	-1.792959496E-2	4.181683809E-2	-3.634720445E-1
4.287697917E-1	-1.738098264E-2	5.493956432E-2	-3.876511455E-1
4.387837917E-1	-3.706054389E-2	6.701714545E-2	-4.062927663E-1
4.487977917E-1	-7.073408365E-2	8.887130767E-2	-4.252142608E-1
4.588117917E-1	-1.209599003E-1	1.325358450E-1	-4.447379112E-1
4.688257917E-1	-1.754172742E-1	1.483086944E-1	-4.377726614E-1
4.788397917E-1	-2.209765762E-1	1.757439822E-1	-4.284525514E-1
4.888537917E-1	-2.573641539E-1	1.891950816E-1	-4.171359837E-1
4.988667917E-1	-2.741786838E-1	1.607760936E-1	-3.898971677E-1
5.088807917E-1	-2.739624381E-1	1.315159500E-1	-3.688054681E-1
5.188947917E-1	-2.636749744E-1	2.697415277E-2	-3.359062672E-1
5.289087917E-1	-2.518508136E-1	-7.551307231E-2	-3.021949232E-1
5.389227917E-1	-2.327906340E-1	-1.465944350E-1	-2.719150186E-1
5.489367917E-1	-2.161290944E-1	-2.016126812E-1	-2.338430136E-1
5.589507917E-1	-2.075688392E-1	-2.176464498E-1	-2.118387669E-1
5.689637917E-1	-1.941984296E-1	-1.811960340E-1	-2.032202482E-1
5.789777917E-1	-1.843846142E-1	-1.248189509E-1	-2.004861385E-1
5.889917917E-1	-1.646663100E-1	-6.021253392E-2	-2.083608508E-1
5.990057917E-1	-1.380351484E-1	-2.979636565E-2	-2.222149819E-1
6.090197917E-1	-9.761582315E-2	-2.627113834E-2	-2.349755168E-1
6.190337917E-1	-5.753578246E-2	-4.225220904E-2	-2.348985970E-1
6.290477917E-1	-1.140104327E-2	-4.958815128E-2	-2.285869122E-1
6.390617917E-1	2.810568735E-2	-3.471386433E-2	-2.191486806E-1
6.490747917E-1	5.923058093E-2	-2.137278672E-3	-2.144564688E-1
6.590887917E-1	8.373706043E-2	4.335442558E-2	-2.078203559E-1
6.691027917E-1	1.041334122E-1	8.080779016E-2	-2.036682218E-1
6.791167917E-1	1.179996878E-1	1.053529903E-1	-2.083413899E-1
6.891307917E-1	1.350026429E-1	1.210326180E-1	-2.143260390E-1
6.991447917E-1	1.438040435E-1	1.332299709E-1	-2.227497846E-1
7.091587917E-1	1.448900700E-1	1.320334077E-1	-2.326463610E-1
7.191717917E-1	1.320933998E-1	1.156234443E-1	-2.313238829E-1
7.291857917E-1	1.181919724E-1	9.613016993E-2	-2.196528465E-1
7.391997917E-1	9.633594006E-2	7.438226789E-2	-1.986881793E-1
7.492137917E-1	7.046226412E-2	3.399276361E-2	-1.782082021E-1
7.592277917E-1	3.385038674E-2	-7.620015647E-3	-1.685897559E-1
7.692417917E-1	-5.140158348E-3	-1.996270195E-2	-1.518286169E-1
7.792557917E-1	-4.602633417E-2	-9.073510766E-3	-1.479117423E-1
7.892687917E-1	-9.050298482E-2	2.040208876E-2	-1.563664824E-1
7.992827917E-1	-1.239261925E-1	2.052542381E-2	-1.645203233E-1
8.092967917E-1	-1.349391639E-1	2.057069726E-2	-1.777088344E-1
8.193107917E-1	-1.338195652E-1	3.595447540E-2	-1.974389106E-1
8.293247917E-1	-1.354930997E-1	1.202197932E-2	-2.000424266E-1
8.393387917E-1	-1.386930197E-1	8.458996192E-3	-2.029656619E-1
8.493527917E-1	-1.473980844E-1	4.190803319E-2	-2.034378350E-1
8.593625833E-1	-1.847432703E-1	1.131599322E-1	-2.182244062E-1
8.693755833E-1	-2.285136580E-1	1.100208610E-1	-2.068055719E-1
8.793895833E-1	-2.464837283E-1	1.052757055E-1	-2.078233063E-1
8.894035833E-1	-2.378092855E-1	8.700961620E-2	-2.051785141E-1
8.994175833E-1	-2.075533867E-1	3.104295954E-2	-2.068314403E-1
9.094315833E-1	-1.599520445E-1	1.953091286E-2	-2.126166224E-1
9.194455833E-1	-1.222542599E-1	4.044453427E-2	-2.123304605E-1
9.294595833E-1	-9.605700523E-2	4.094840586E-2	-2.028655857E-1
9.394725833E-1	-6.118079275E-2	3.304432333E-2	-1.951936781E-1
9.494865833E-1	-2.930035442E-2	2.014929801E-2	-1.838518083E-1
9.595005833E-1	-2.619743347E-3	2.302817442E-2	-1.652062088E-1
9.695145833E-1	2.173593082E-2	1.956287026E-2	-1.406249702E-1
9.795285833E-1	4.278269410E-2	2.038211748E-2	-1.199781299E-1
9.895425833E-1	5.454135314E-2	5.740574561E-4	-9.805312753E-2
9.995565833E-1	5.293565989E-2	-2.729118802E-2	-8.599608392E-2
1.009570583E0	4.030322284E-2	-4.336310178E-2	-8.268151432E-2
1.019583583E0	2.121635340E-2	-5.797660351E-2	-7.606711239E-2
1.029597583E0	-3.226935863E-3	-6.340838969E-2	-6.413348764E-2
1.039611583E0	-2.938285097E-2	-6.316956133E-2	-4.455758259E-2
1.049625583E0	-5.499234051E-2	-6.446545571E-2	-2.713065408E-2
1.059639583E0	-7.601106167E-2	-4.784753919E-2	-1.240453869E-2
1.069653583E0	-8.311265707E-2	-4.274332523E-2	-2.067212015E-3
1.079667583E0	-8.985543996E-2	-2.421742864E-2	-4.181767348E-3
1.089680583E0	-7.534973323E-2	2.007280476E-2	-6.075541023E-3
1.099694583E0	-5.309356004E-2	7.765797526E-2	-1.116225496E-2
1.109708583E0	-2.415991202E-2	1.167542487E-1	-2.287670225E-2
1.119722583E0	7.471445948E-3	1.437519044E-1	-3.367448226E-2
1.129736583E0	3.846637905E-2	1.446392685E-1	-3.416583315E-2
1.139750583E0	6.135485321E-2	1.243805140E-1	-2.251486853E-2
1.149764583E0	7.371804118E-2	9.535338730E-2	-4.849320743E-3
1.159777583E0	6.585126370E-2	6.965950131E-2	2.221050672E-4
1.169791583E0	6.478493661E-2	8.782545477E-2	6.599043962E-3
1.179805583E0	8.192344010E-2	1.559642106E-1	1.083362289E-2
1.189819583E0	1.231044382E-1	2.198707610E-1	-6.275577471E-4
1.199833583E0	1.687137932E-1	2.518255115E-1	-2.971094660E-2
1.209847583E0	2.133094817E-1	2.300448567E-1	-6.306783855E-2
1.219861583E0	2.396129221E-1	1.677305400E-1	-8.993522823E-2
1.229874583E0	2.417405397E-1	7.868401706E-2	-1.169154495E-1
1.239888583E0	2.011530995E-1	-2.586032823E-2	-1.400951743E-1
1.249902583E0	1.223373637E-1	-1.161902323E-1	-1.591966897E-1
1.259916583E0	2.184126526E-2	-1.720153540E-1	-1.641217321E-1
1.269930583E0	-1.000923663E-1	-1.696861535E-1	-1.630711108E-1
1.279944583E0	-2.145143449E-1	-1.466272622E-1	-1.591150910E-1
1.289958583E0	-3.069127202E-1	-1.043863297E-1	-1.528097987E-1
1.299971583E0	-3.692072630E-1	-7.062208652E-2	-1.407353431E-1
1.309985583E0	-3.851441443E-1	-4.746164754E-2	-1.132954657E-1
1.319999583E0	-3.485773504E-1	-5.250206217E-2	-8.322090656E-2
1.330013583E0	-2.760408223E-1	-8.670210838E-2	-5.514692888E-2
1.340027583E0	-1.776460111E-1	-1.229839772E-1	-2.314049564E-2
1.350041583E0	-7.467462122E-2	-1.466331184E-1	4.893536679E-3
1.360055583E0	1.988103800E-2	-1.372411251E-1	2.684391849E-2
1.370069583E0	9.515848011E-2	-1.028831527E-1	4.536540434E-2
1.380082583E0	1.322983354E-1	-6.886848807E-2	4.627174884E-2
1.390096583E0	1.399256289E-1	-5.036697537E-2	3.999867290E-2
1.400110583E0	1.200209707E-1	-4.263093695E-2	2.415908501E-2
1.410124583E0	7.861573249E-2	-5.379837006E-2	7.497816812E-3
1.420138583E0	2.936902270E-2	-8.026438951E-2	-1.404730137E-2
1.430152583E0	-2.598185278E-2	-1.164860502E-1	-3.367293626E-2
1.440166583E0	-7.493248582E-2	-1.439642161E-1	-4.269532859E-2
1.450179583E0	-1.137611121E-1	-1.666964293E-1	-5.701967329E-2
1.460193583E0	-1.486718804E-1	-1.755726188E-1	-7.639332861E-2
1.470207583E0	-1.735625863E-1	-1.668529063E-1	-8.541078866E-2
1.480221583E0	-1.815522015E-1	-1.704041064E-1	-9.178291261E-2
1.490235583E0	-1.801447123E-1	-1.786095798E-1	-9.396244586E-2
1.500249583E0	-1.722522527E-1	-1.780530363E-1	-9.592507780E-2
1.510263583E0	-1.521507055E-1	-1.712068468E-1	-8.837661147E-2
1.520276583E0	-1.286158860E-1	-1.675783992E-1	-8.507566899E-2
1.530290583E0	-1.104906797E-1	-1.731004715E-1	-8.312756568E-2
1.540304583E0	-9.061578661E-2	-1.727149189E-1	-8.699858189E-2
1.550318583E0	-7.299099118E-2	-1.731058806E-1	-7.996544242E-2
1.560332583E0	-4.625549912E-2	-1.941266358E-1	-7.818212360E-2
1.570346583E0	-9.612799622E-3	-1.945487410E-1	-6.825492531E-2
1.580360583E0	3.126612306E-2	-1.888430119E-1	-6.822732091E-2
1.590374583E0	6.856556237E-2	-1.966857463E-1	-6.503392756E-2
1.600387583E0	9.409162402E-2	-1.820663512E-1	-7.194475830E-2
1.610401583E0	1.180126742E-1	-1.644324958E-1	-6.627062708E-2
1.620415583E0	1.489912719E-1	-1.022974327E-1	-5.948745087E-2
1.630429583E0	1.792919189E-1	-3.612560034E-2	-7.239206135E-2
1.640443583E0	1.897160709E-1	-1.861551311E-3	-9.564267844E-2
1.650457583E0	1.871938109E-1	4.403323680E-2	-1.297599077E-1
1.660471583E0	1.725501120E-1	8.431151509E-2	-1.761830300E-1
1.670484583E0	1.375396699E-1	8.995421976E-2	-2.193986773E-1
1.680498583E0	9.416419268E-2	1.051322445E-1	-2.694341242E-1
1.690512583E0	4.807765782E-2	1.038411483E-1	-3.195161819E-1
1.700526583E0	-7.893544622E-3	9.286661446E-2	-3.665198386E-1
1.710540583E0	-8.009370416E-2	5.250002071E-2	-3.949895799E-1
1.720554583E0	-1.689647883E-1	-3.604774550E-2	-4.021304548E-1
1.730568583E0	-2.867012620E-1	-1.758407950E-1	-3.950919807E-1
1.740581583E0	-4.224604666E-1	-3.362106979E-1	-3.890379071E-1
1.750595583E0	-5.519910455E-1	-4.107954800E-1	-3.737228513E-1
1.760609583E0	-6.324360371E-1	-3.978387713E-1	-3.540371358E-1
1.770623583E0	-6.590479612E-1	-3.202563524E-1	-3.340210617E-1
1.780637583E0	-6.158906221E-1	-2.137713432E-1	-3.204114437E-1
1.790651583E0	-5.006689429E-1	-1.210613847E-1	-3.105702698E-1
1.800665583E0	-3.217693865E-1	-5.654443800E-2	-3.053225577E-1
1.810678583E0	-9.731098264E-2	-5.898389965E-2	-3.180953264E-1
1.820692583E0	1.357664764E-1	-7.813859731E-2	-3.529030085E-1
1.830706583E0	3.560586572E-1	-7.231479883E-2	-4.001078010E-1
1.840720583E0	5.253589153E-1	-5.366582796E-2	-4.454689920E-1
1.850734583E0	6.280583739E-1	-4.299347848E-2	-4.659537673E-1
1.860748708E0	6.655597687E-1	-3.422575817E-2	-4.643437564E-1
1.870762708E0	6.391134858E-1	-5.725997314E-2	-4.585806727E-1
1.880775708E0	5.554915667E-1	-1.162681654E-1	-4.544975162E-1
1.890789708E0	4.249849617E-1	-1.956356913E-1	-4.402490854E-1
1.900803708E0	2.609222233E-1	-2.663591206E-1	-4.074047804E-1
1.910817708E0	9.430740029E-2	-3.278203607E-1	-3.594431281E-1
1.920831708E0	-4.655744880E-2	-3.605891466E-1	-3.095090091E-1
1.930845708E0	-1.393885911E-1	-3.586136401E-1	-2.690425515E-1
1.940858708E0	-1.757136285E-1	-3.487268984E-1	-2.492238134E-1
1.950872708E0	-1.567758918E-1	-3.403001428E-1	-2.310663760E-1
1.960886708E0	-7.315184921E-2	-2.963514030E-1	-2.179826498E-1
1.970900708E0	4.976741970E-2	-2.386550903E-1	-2.233720869E-1
1.980914708E0	1.792885959E-1	-2.072795630E-1	-2.447522432E-1
1.990928708E0	3.119332194E-1	-1.996645182E-1	-2.695931196E-1
2.000942708E0	4.192862213E-1	-2.007117569E-1	-2.889099419E-1
2.010955708E0	4.881356061E-1	-2.179517299E-1	-3.099009991E-1
2.020969708E0	5.079526901E-1	-2.162957489E-1	-3.271404505E-1
2.030983708E0	4.921814799E-1	-1.905776113E-1	-3.432120979E-1
2.040997708E0	4.516702592E-1	-1.574682146E-1	-3.532611430E-1
2.051011708E0	3.871690333E-1	-1.133955643E-1	-3.410087526E-1
2.061025708E0	3.173088431E-1	-6.761490554E-2	-3.211417794E-1
2.071039708E0	2.523114681E-1	-2.244822495E-2	-2.949070036E-1
2.081052708E0	2.063903809E-1	2.097574063E-2	-2.610404789E-1
2.091066708E0	1.724537164E-1	1.086134464E-1	-2.477230728E-1
2.101080708E0	1.490651071E-1	1.125688627E-1	-2.137799263E-1
2.111094708E0	1.405318081E-1	9.523247927E-2	-1.854175329E-1
2.121108708E0	1.590692848E-1	3.412583098E-2	-1.449281126E-1
2.131122708E0	2.047787160E-1	-6.470113993E-2	-1.024613380E-1
2.141136708E0	2.732046843E-1	-1.056512967E-1	-6.519670784E-2
2.151149708E0	3.457185924E-1	-1.444229186E-1	-3.693258390E-2
2.161163708E0	3.932473660E-1	-1.668424904E-1	-2.260074019E-2
2.171177708E0	4.054462314E-1	-1.759251952E-1	-1.831757836E-2
2.181191708E0	3.741265833E-1	-1.961515695E-1	-1.891455613E-2
2.191205708E0	3.155359626E-1	-1.994126141E-1	-2.826225385E-2
2.201219708E0	2.375454903E-1	-1.720991135E-1	-4.083636403E-2
2.211233708E0	1.569156200E-1	-1.092317328E-1	-5.313217640E-2
2.221246708E0	9.349267185E-2	-1.016229764E-2	-5.187907070E-2
2.231260708E0	7.350964844E-2	1.091640890E-1	-5.020500720E-2
2.241274708E0	9.475328028E-2	2.069815844E-1	-5.369718745E-2
2.251288708E0	1.337784529E-1	2.151729465E-1	-7.170255482E-2
